x y
0.000000e+00 1.211600e+04
3.827912e-03 1.860000e+02
7.655823e-03 3.340000e+02
1.148373e-02 4.620000e+02
1.531165e-02 5.460000e+02
1.913956e-02 5.820000e+02
2.296747e-02 6.780000e+02
2.679538e-02 7.360000e+02
3.062329e-02 8.320000e+02
3.445121e-02 9.090000e+02
3.827912e-02 9.050000e+02
4.210703e-02 1.000000e+03
4.593494e-02 9.960000e+02
4.976285e-02 1.038000e+03
5.359076e-02 1.008000e+03
5.741867e-02 1.044000e+03
6.124659e-02 1.043000e+03
6.507450e-02 9.880000e+02
6.890241e-02 9.610000e+02
7.273032e-02 1.083000e+03
7.655823e-02 9.850000e+02
8.038614e-02 1.003000e+03
8.421405e-02 9.290000e+02
8.804196e-02 8.790000e+02
9.186988e-02 9.480000e+02
9.569779e-02 9.360000e+02
9.952570e-02 9.260000e+02
1.033536e-01 8.820000e+02
1.071815e-01 9.080000e+02
1.110094e-01 8.700000e+02
1.148373e-01 8.790000e+02
1.186653e-01 8.250000e+02
1.224932e-01 8.600000e+02
1.263211e-01 8.660000e+02
1.301490e-01 8.310000e+02
1.339769e-01 8.200000e+02
1.378048e-01 8.740000e+02
1.416327e-01 8.820000e+02
1.454606e-01 8.760000e+02
1.492886e-01 8.860000e+02
1.531165e-01 8.840000e+02
1.569444e-01 8.350000e+02
1.607723e-01 9.150000e+02
1.646002e-01 9.400000e+02
1.684281e-01 9.380000e+02
1.722560e-01 9.120000e+02
1.760839e-01 9.330000e+02
1.799118e-01 9.030000e+02
1.837398e-01 8.340000e+02
1.875677e-01 1.001000e+03
1.913956e-01 1.051000e+03
1.952235e-01 9.920000e+02
1.990514e-01 1.075000e+03
2.028793e-01 1.089000e+03
2.067072e-01 1.131000e+03
2.105351e-01 1.097000e+03
2.143630e-01 1.166000e+03
2.181910e-01 1.208000e+03
2.220189e-01 1.202000e+03
2.258468e-01 1.232000e+03
2.296747e-01 1.265000e+03
2.335026e-01 1.278000e+03
2.373305e-01 1.387000e+03
2.411584e-01 1.344000e+03
2.449863e-01 1.364000e+03
2.488142e-01 1.478000e+03
2.526422e-01 1.571000e+03
2.564701e-01 1.521000e+03
2.602980e-01 1.630000e+03
2.641259e-01 1.649000e+03
2.679538e-01 1.783000e+03
2.717817e-01 1.820000e+03
2.756096e-01 1.886000e+03
2.794375e-01 1.840000e+03
2.832654e-01 2.051000e+03
2.870934e-01 2.186000e+03
2.909213e-01 2.247000e+03
2.947492e-01 2.229000e+03
2.985771e-01 2.438000e+03
3.024050e-01 2.546000e+03
3.062329e-01 2.659000e+03
3.100608e-01 2.745000e+03
3.138887e-01 2.927000e+03
3.177167e-01 3.087000e+03
3.215446e-01 3.186000e+03
3.253725e-01 3.364000e+03
3.292004e-01 3.571000e+03
3.330283e-01 3.752000e+03
3.368562e-01 3.946000e+03
3.406841e-01 4.247000e+03
3.445120e-01 4.414000e+03
3.483399e-01 4.700000e+03
3.521678e-01 5.034000e+03
3.559958e-01 5.339000e+03
3.598237e-01 5.484000e+03
3.636516e-01 6.012000e+03
3.674795e-01 6.210000e+03
3.713074e-01 6.784000e+03
3.751353e-01 7.161000e+03
3.789632e-01 7.533000e+03
3.827912e-01 7.961000e+03
3.866191e-01 8.514000e+03
3.904470e-01 9.230000e+03
3.942749e-01 9.616000e+03
3.981028e-01 1.016000e+04
4.019307e-01 1.087700e+04
4.057586e-01 1.146500e+04
4.095865e-01 1.232100e+04
4.134144e-01 1.325800e+04
4.172423e-01 1.380500e+04
4.210703e-01 1.484600e+04
4.248982e-01 1.560300e+04
4.287261e-01 1.660800e+04
4.325540e-01 1.773900e+04
4.363819e-01 1.889400e+04
4.402098e-01 1.994000e+04
4.440377e-01 2.122200e+04
4.478656e-01 2.216400e+04
4.516936e-01 2.396600e+04
4.555215e-01 2.488300e+04
4.593494e-01 2.684800e+04
4.631773e-01 2.815700e+04
4.670052e-01 2.980000e+04
4.708331e-01 3.127500e+04
4.746610e-01 3.330700e+04
4.784890e-01 3.475800e+04
4.823169e-01 3.690900e+04
4.861448e-01 3.909300e+04
4.899727e-01 4.087300e+04
4.938006e-01 4.301800e+04
4.976285e-01 4.493600e+04
5.014564e-01 4.752400e+04
5.052843e-01 4.981800e+04
5.091122e-01 5.208300e+04
5.129402e-01 5.441400e+04
5.167680e-01 5.690600e+04
5.205960e-01 5.956500e+04
5.244239e-01 6.324800e+04
5.282518e-01 6.545900e+04
5.320797e-01 6.876600e+04
5.359076e-01 7.151500e+04
5.397355e-01 7.503500e+04
5.435634e-01 7.791500e+04
5.473914e-01 8.131700e+04
5.512193e-01 8.405700e+04
5.550472e-01 8.803200e+04
5.588751e-01 9.132300e+04
5.627030e-01 9.444500e+04
5.665309e-01 9.911600e+04
5.703588e-01 1.023860e+05
5.741867e-01 1.059340e+05
5.780146e-01 1.105520e+05
5.818425e-01 1.140640e+05
5.856705e-01 1.185160e+05
5.894983e-01 1.225860e+05
5.933263e-01 1.262160e+05
5.971542e-01 1.305880e+05
6.009821e-01 1.348570e+05
6.048100e-01 1.381490e+05
6.086379e-01 1.440960e+05
6.124659e-01 1.469400e+05
6.162937e-01 1.517090e+05
6.201217e-01 1.561250e+05
6.239496e-01 1.609340e+05
6.277775e-01 1.649330e+05
6.316054e-01 1.692780e+05
6.354333e-01 1.731120e+05
6.392612e-01 1.774820e+05
6.430891e-01 1.823420e+05
6.469170e-01 1.862560e+05
6.507450e-01 1.899200e+05
6.545728e-01 1.945900e+05
6.584008e-01 1.975630e+05
6.622287e-01 2.011120e+05
6.660566e-01 2.048330e+05
6.698845e-01 2.081390e+05
6.737124e-01 2.117460e+05
6.775404e-01 2.151540e+05
6.813682e-01 2.177660e+05
6.851962e-01 2.205540e+05
6.890241e-01 2.221470e+05
6.928520e-01 2.243870e+05
6.966799e-01 2.261490e+05
7.005078e-01 2.273110e+05
7.043357e-01 2.296990e+05
7.081636e-01 2.310050e+05
7.119915e-01 2.311890e+05
7.158195e-01 2.309880e+05
7.196473e-01 2.322070e+05
7.234753e-01 2.304820e+05
7.273032e-01 2.311210e+05
7.311311e-01 2.307800e+05
7.349590e-01 2.286430e+05
7.387869e-01 2.267340e+05
7.426148e-01 2.256330e+05
7.464427e-01 2.230770e+05
7.502707e-01 2.200790e+05
7.540986e-01 2.169870e+05
7.579265e-01 2.139440e+05
7.617544e-01 2.097590e+05
7.655823e-01 2.056030e+05
7.694102e-01 2.008910e+05
7.732381e-01 1.967160e+05
7.770661e-01 1.907680e+05
7.808939e-01 1.863500e+05
7.847219e-01 1.800760e+05
7.885498e-01 1.739550e+05
7.923777e-01 1.677570e+05
7.962056e-01 1.622390e+05
8.000335e-01 1.543620e+05
8.038614e-01 1.484700e+05
8.076893e-01 1.426290e+05
8.115172e-01 1.350440e+05
8.153452e-01 1.284810e+05
8.191730e-01 1.214210e+05
8.230010e-01 1.149260e+05
8.268289e-01 1.075660e+05
8.306568e-01 1.007770e+05
8.344847e-01 9.380100e+04
8.383126e-01 8.730900e+04
8.421406e-01 8.040000e+04
8.459684e-01 7.464000e+04
8.497964e-01 6.833200e+04
8.536243e-01 6.290500e+04
8.574522e-01 5.702800e+04
8.612801e-01 5.141100e+04
8.651080e-01 4.653700e+04
8.689359e-01 4.148600e+04
8.727638e-01 3.685900e+04
8.765917e-01 3.263600e+04
8.804197e-01 2.845200e+04
8.842475e-01 2.472500e+04
8.880755e-01 2.127100e+04
8.919034e-01 1.825400e+04
