x y
0.000000e+00 1.205500e+04
3.921309e+00 0.000000e+00
7.842618e+00 0.000000e+00
1.176393e+01 0.000000e+00
1.568524e+01 0.000000e+00
1.960654e+01 0.000000e+00
2.352785e+01 0.000000e+00
2.744916e+01 0.000000e+00
3.137047e+01 0.000000e+00
3.529178e+01 0.000000e+00
3.921309e+01 0.000000e+00
4.313440e+01 0.000000e+00
4.705571e+01 0.000000e+00
5.097702e+01 1.500000e+01
5.489833e+01 1.290000e+02
5.881963e+01 7.120000e+02
6.274094e+01 2.854000e+03
6.666225e+01 8.343000e+03
7.058356e+01 1.926000e+04
7.450487e+01 3.824200e+04
7.842618e+01 6.582800e+04
8.234749e+01 1.018280e+05
8.626880e+01 1.446630e+05
9.019010e+01 1.917120e+05
9.411141e+01 2.434910e+05
9.803272e+01 2.929620e+05
1.019540e+02 3.401660e+05
1.058753e+02 3.837850e+05
1.097967e+02 4.204840e+05
1.137180e+02 4.516760e+05
1.176393e+02 4.756700e+05
1.215606e+02 4.937500e+05
1.254819e+02 5.050770e+05
1.294032e+02 5.088360e+05
1.333245e+02 5.095000e+05
1.372458e+02 5.064010e+05
1.411671e+02 4.987360e+05
1.450884e+02 4.875940e+05
1.490097e+02 4.743780e+05
1.529310e+02 4.589140e+05
1.568524e+02 4.404340e+05
1.607737e+02 4.230400e+05
1.646950e+02 4.038480e+05
1.686163e+02 3.853900e+05
1.725376e+02 3.665220e+05
1.764589e+02 3.482070e+05
1.803802e+02 3.286230e+05
1.843015e+02 3.106260e+05
1.882228e+02 2.937840e+05
1.921441e+02 2.764820e+05
1.960654e+02 2.600450e+05
1.999868e+02 2.444910e+05
2.039081e+02 2.299210e+05
2.078294e+02 2.158760e+05
2.117507e+02 2.033090e+05
2.156720e+02 1.898630e+05
2.195933e+02 1.784750e+05
2.235146e+02 1.676170e+05
2.274359e+02 1.561440e+05
2.313572e+02 1.465510e+05
2.352785e+02 1.375310e+05
2.391998e+02 1.281400e+05
2.431212e+02 1.202920e+05
2.470425e+02 1.134170e+05
2.509638e+02 1.058020e+05
2.548851e+02 9.885800e+04
2.588064e+02 9.246100e+04
2.627277e+02 8.737500e+04
2.666490e+02 8.154700e+04
2.705703e+02 7.566600e+04
2.744916e+02 7.095800e+04
2.784129e+02 6.671700e+04
2.823342e+02 6.229200e+04
2.862556e+02 5.865800e+04
2.901768e+02 5.485900e+04
2.940982e+02 5.136400e+04
2.980195e+02 4.829600e+04
3.019408e+02 4.543600e+04
3.058621e+02 4.266000e+04
3.097834e+02 3.996600e+04
3.137047e+02 3.783000e+04
3.176260e+02 3.495400e+04
3.215473e+02 3.310200e+04
3.254686e+02 3.120200e+04
3.293900e+02 2.918300e+04
3.333112e+02 2.721600e+04
3.372326e+02 2.586700e+04
3.411539e+02 2.419100e+04
3.450752e+02 2.255600e+04
3.489965e+02 2.159300e+04
3.529178e+02 2.004400e+04
3.568391e+02 1.890300e+04
3.607604e+02 1.790700e+04
3.646817e+02 1.682900e+04
3.686030e+02 1.588600e+04
3.725244e+02 1.490700e+04
3.764456e+02 1.427500e+04
3.803670e+02 1.326100e+04
3.842883e+02 1.237700e+04
3.882096e+02 1.205400e+04
3.921309e+02 1.124000e+04
3.960522e+02 1.064200e+04
3.999735e+02 9.984000e+03
4.038948e+02 9.434000e+03
4.078161e+02 9.026000e+03
4.117374e+02 8.430000e+03
4.156588e+02 7.979000e+03
4.195800e+02 7.739000e+03
4.235014e+02 7.180000e+03
4.274227e+02 6.876000e+03
4.313440e+02 6.459000e+03
4.352653e+02 6.092000e+03
4.391866e+02 5.787000e+03
4.431079e+02 5.569000e+03
4.470292e+02 5.288000e+03
4.509505e+02 4.854000e+03
4.548718e+02 4.783000e+03
4.587932e+02 4.491000e+03
4.627144e+02 4.205000e+03
4.666358e+02 4.005000e+03
4.705571e+02 3.921000e+03
4.744784e+02 3.595000e+03
4.783997e+02 3.397000e+03
4.823210e+02 3.211000e+03
4.862423e+02 3.206000e+03
4.901636e+02 2.985000e+03
4.940849e+02 2.824000e+03
4.980062e+02 2.809000e+03
5.019276e+02 2.671000e+03
5.058488e+02 2.435000e+03
5.097702e+02 2.379000e+03
5.136915e+02 2.196000e+03
5.176128e+02 2.128000e+03
5.215341e+02 2.067000e+03
5.254554e+02 2.027000e+03
5.293767e+02 1.932000e+03
5.332980e+02 1.900000e+03
5.372193e+02 1.739000e+03
5.411406e+02 1.627000e+03
5.450620e+02 1.542000e+03
5.489833e+02 1.547000e+03
5.529045e+02 1.421000e+03
5.568259e+02 1.425000e+03
5.607472e+02 1.320000e+03
5.646685e+02 1.271000e+03
5.685898e+02 1.283000e+03
5.725111e+02 1.224000e+03
5.764324e+02 1.148000e+03
5.803537e+02 1.029000e+03
5.842750e+02 1.104000e+03
5.881964e+02 1.010000e+03
5.921177e+02 9.440000e+02
5.960389e+02 9.250000e+02
5.999603e+02 9.580000e+02
6.038816e+02 8.350000e+02
6.078029e+02 8.090000e+02
6.117242e+02 8.230000e+02
6.156455e+02 7.760000e+02
6.195668e+02 7.220000e+02
6.234881e+02 7.440000e+02
6.274094e+02 6.960000e+02
6.313307e+02 6.370000e+02
6.352521e+02 6.380000e+02
6.391733e+02 6.290000e+02
6.430947e+02 6.570000e+02
6.470160e+02 6.100000e+02
6.509373e+02 6.030000e+02
6.548586e+02 5.310000e+02
6.587799e+02 5.710000e+02
6.627012e+02 5.270000e+02
6.666225e+02 5.220000e+02
6.705438e+02 4.910000e+02
6.744651e+02 4.800000e+02
6.783865e+02 4.620000e+02
6.823077e+02 4.350000e+02
6.862291e+02 4.310000e+02
6.901504e+02 4.140000e+02
6.940717e+02 4.250000e+02
6.979930e+02 4.290000e+02
7.019143e+02 3.880000e+02
7.058356e+02 3.860000e+02
7.097569e+02 3.810000e+02
7.136782e+02 3.830000e+02
7.175995e+02 3.710000e+02
7.215208e+02 3.970000e+02
7.254421e+02 3.750000e+02
7.293635e+02 3.230000e+02
7.332848e+02 3.030000e+02
7.372061e+02 3.000000e+02
7.411274e+02 3.020000e+02
