x y
1.679348e-02 1.000000e+00
1.988393e-02 1.000000e+00
2.297438e-02 1.000000e+00
2.606483e-02 0.000000e+00
2.915527e-02 2.000000e+00
3.224573e-02 3.000000e+00
3.533617e-02 2.000000e+00
3.842662e-02 4.000000e+00
4.151707e-02 6.000000e+00
4.460752e-02 4.000000e+00
4.769797e-02 3.000000e+00
5.078842e-02 8.000000e+00
5.387887e-02 1.000000e+01
5.696932e-02 5.000000e+00
6.005977e-02 1.200000e+01
6.315022e-02 1.400000e+01
6.624067e-02 2.000000e+01
6.933112e-02 1.400000e+01
7.242157e-02 2.200000e+01
7.551201e-02 1.800000e+01
7.860246e-02 2.000000e+01
8.169291e-02 3.400000e+01
8.478336e-02 3.800000e+01
8.787381e-02 5.000000e+01
9.096426e-02 3.500000e+01
9.405471e-02 4.300000e+01
9.714516e-02 5.900000e+01
1.002356e-01 5.800000e+01
1.033261e-01 6.600000e+01
1.064165e-01 7.500000e+01
1.095070e-01 9.300000e+01
1.125974e-01 1.040000e+02
1.156879e-01 1.020000e+02
1.187783e-01 1.030000e+02
1.218688e-01 1.180000e+02
1.249592e-01 1.150000e+02
1.280497e-01 1.470000e+02
1.311401e-01 1.720000e+02
1.342306e-01 1.600000e+02
1.373210e-01 1.810000e+02
1.404115e-01 2.020000e+02
1.435019e-01 2.030000e+02
1.465923e-01 2.150000e+02
1.496828e-01 2.180000e+02
1.527732e-01 2.550000e+02
1.558637e-01 2.330000e+02
1.589541e-01 2.410000e+02
1.620446e-01 2.570000e+02
1.651350e-01 2.680000e+02
1.682255e-01 2.630000e+02
1.713159e-01 2.710000e+02
1.744064e-01 2.930000e+02
1.774968e-01 3.000000e+02
1.805873e-01 3.760000e+02
1.836777e-01 3.210000e+02
1.867682e-01 3.570000e+02
1.898586e-01 4.010000e+02
1.929491e-01 3.970000e+02
1.960395e-01 4.320000e+02
1.991300e-01 4.520000e+02
2.022204e-01 4.600000e+02
2.053109e-01 4.630000e+02
2.084013e-01 4.800000e+02
2.114918e-01 5.040000e+02
2.145822e-01 5.410000e+02
2.176727e-01 5.950000e+02
2.207631e-01 5.800000e+02
2.238536e-01 6.100000e+02
2.269440e-01 6.270000e+02
2.300345e-01 6.450000e+02
2.331249e-01 6.700000e+02
2.362154e-01 6.830000e+02
2.393058e-01 7.360000e+02
2.423963e-01 7.610000e+02
2.454867e-01 7.840000e+02
2.485772e-01 8.130000e+02
2.516676e-01 7.870000e+02
2.547581e-01 9.140000e+02
2.578485e-01 9.450000e+02
2.609390e-01 9.360000e+02
2.640294e-01 9.610000e+02
2.671199e-01 9.790000e+02
2.702103e-01 1.085000e+03
2.733008e-01 1.154000e+03
2.763912e-01 1.135000e+03
2.794816e-01 1.252000e+03
2.825721e-01 1.256000e+03
2.856626e-01 1.233000e+03
2.887530e-01 1.273000e+03
2.918434e-01 1.441000e+03
2.949339e-01 1.476000e+03
2.980244e-01 1.491000e+03
3.011148e-01 1.456000e+03
3.042053e-01 1.485000e+03
3.072957e-01 1.642000e+03
3.103862e-01 1.532000e+03
3.134766e-01 1.630000e+03
3.165671e-01 1.656000e+03
3.196575e-01 1.698000e+03
3.227479e-01 1.790000e+03
3.258384e-01 1.715000e+03
3.289289e-01 1.794000e+03
3.320193e-01 1.872000e+03
3.351097e-01 1.843000e+03
3.382002e-01 1.914000e+03
3.412907e-01 1.981000e+03
3.443811e-01 1.870000e+03
3.474715e-01 2.018000e+03
3.505620e-01 2.032000e+03
3.536524e-01 2.038000e+03
3.567429e-01 2.109000e+03
3.598333e-01 2.097000e+03
3.629238e-01 2.085000e+03
3.660142e-01 2.242000e+03
3.691047e-01 2.209000e+03
3.721951e-01 2.177000e+03
3.752856e-01 2.258000e+03
3.783760e-01 2.221000e+03
3.814665e-01 2.189000e+03
3.845569e-01 2.309000e+03
