x y
0.000000e+00 6.000000e+00
2.056139e+01 0.000000e+00
4.112278e+01 0.000000e+00
6.168417e+01 0.000000e+00
8.224557e+01 0.000000e+00
1.028070e+02 0.000000e+00
1.233683e+02 0.000000e+00
1.439297e+02 0.000000e+00
1.644911e+02 0.000000e+00
1.850525e+02 0.000000e+00
2.056139e+02 0.000000e+00
2.261753e+02 1.200000e+01
2.467367e+02 5.500000e+01
2.672981e+02 2.170000e+02
2.878595e+02 4.860000e+02
3.084209e+02 1.070000e+03
3.289823e+02 1.769000e+03
3.495436e+02 2.577000e+03
3.701050e+02 3.669000e+03
3.906664e+02 4.867000e+03
4.112278e+02 6.146000e+03
4.317892e+02 7.251000e+03
4.523506e+02 8.500000e+03
4.729120e+02 9.681000e+03
4.934734e+02 1.091500e+04
5.140348e+02 1.197800e+04
5.345962e+02 1.304800e+04
5.551576e+02 1.401300e+04
5.757189e+02 1.487700e+04
5.962803e+02 1.566000e+04
6.168417e+02 1.643600e+04
6.374031e+02 1.678700e+04
6.579645e+02 1.748500e+04
6.785259e+02 1.809900e+04
6.990873e+02 1.832300e+04
7.196487e+02 1.891000e+04
7.402101e+02 1.919200e+04
7.607715e+02 1.956400e+04
7.813329e+02 1.987900e+04
8.018943e+02 2.012700e+04
8.224556e+02 1.974600e+04
8.430170e+02 2.012100e+04
8.635784e+02 2.037500e+04
8.841398e+02 2.014400e+04
9.047012e+02 2.021500e+04
9.252626e+02 2.011200e+04
9.458240e+02 1.987200e+04
9.663854e+02 1.980900e+04
9.869468e+02 1.954000e+04
1.007508e+03 1.919900e+04
1.028070e+03 1.910900e+04
1.048631e+03 1.918100e+04
1.069192e+03 1.881300e+04
1.089754e+03 1.828900e+04
1.110315e+03 1.799300e+04
1.130876e+03 1.799700e+04
1.151438e+03 1.730300e+04
1.171999e+03 1.700200e+04
1.192561e+03 1.673900e+04
1.213122e+03 1.617400e+04
1.233683e+03 1.592800e+04
1.254245e+03 1.583300e+04
1.274806e+03 1.537200e+04
1.295368e+03 1.491700e+04
1.315929e+03 1.466400e+04
1.336490e+03 1.415300e+04
1.357052e+03 1.368300e+04
1.377613e+03 1.366600e+04
1.398175e+03 1.323400e+04
1.418736e+03 1.293400e+04
1.439297e+03 1.222400e+04
1.459859e+03 1.204200e+04
1.480420e+03 1.148500e+04
1.500982e+03 1.129000e+04
1.521543e+03 1.075500e+04
1.542104e+03 1.027500e+04
1.562666e+03 1.014300e+04
1.583227e+03 9.730000e+03
1.603789e+03 9.312000e+03
1.624350e+03 8.926000e+03
1.644911e+03 8.419000e+03
1.665473e+03 8.421000e+03
1.686034e+03 8.054000e+03
1.706595e+03 7.682000e+03
1.727157e+03 7.364000e+03
1.747718e+03 7.089000e+03
1.768280e+03 6.818000e+03
1.788841e+03 6.593000e+03
1.809402e+03 6.256000e+03
1.829964e+03 5.915000e+03
1.850525e+03 5.822000e+03
1.871087e+03 5.577000e+03
1.891648e+03 5.203000e+03
1.912209e+03 4.929000e+03
1.932771e+03 4.766000e+03
1.953332e+03 4.539000e+03
1.973894e+03 4.380000e+03
1.994455e+03 4.276000e+03
2.015016e+03 3.953000e+03
2.035578e+03 3.795000e+03
2.056139e+03 3.711000e+03
2.076700e+03 3.375000e+03
2.097262e+03 3.253000e+03
2.117823e+03 3.146000e+03
2.138385e+03 2.912000e+03
2.158946e+03 2.765000e+03
2.179508e+03 2.609000e+03
2.200069e+03 2.589000e+03
2.220630e+03 2.368000e+03
2.241192e+03 2.286000e+03
2.261753e+03 2.182000e+03
2.282314e+03 1.998000e+03
2.302876e+03 1.896000e+03
2.323437e+03 1.806000e+03
2.343999e+03 1.769000e+03
2.364560e+03 1.610000e+03
2.385121e+03 1.563000e+03
2.405683e+03 1.418000e+03
2.426244e+03 1.340000e+03
2.446806e+03 1.332000e+03
2.467367e+03 1.211000e+03
2.487928e+03 1.248000e+03
2.508490e+03 1.159000e+03
2.529051e+03 1.087000e+03
2.549613e+03 1.009000e+03
2.570174e+03 9.600000e+02
2.590735e+03 8.610000e+02
2.611297e+03 7.670000e+02
2.631858e+03 7.510000e+02
2.652419e+03 7.310000e+02
2.672981e+03 7.030000e+02
2.693542e+03 6.350000e+02
2.714104e+03 6.060000e+02
2.734665e+03 5.470000e+02
2.755226e+03 5.350000e+02
2.775788e+03 5.170000e+02
2.796349e+03 4.610000e+02
2.816911e+03 4.470000e+02
2.837472e+03 3.840000e+02
2.858033e+03 3.990000e+02
2.878595e+03 3.260000e+02
2.899156e+03 3.420000e+02
2.919718e+03 3.050000e+02
2.940279e+03 2.740000e+02
2.960840e+03 2.560000e+02
2.981402e+03 2.790000e+02
3.001963e+03 2.530000e+02
3.022524e+03 2.330000e+02
3.043086e+03 2.210000e+02
3.063647e+03 1.880000e+02
3.084209e+03 1.790000e+02
3.104770e+03 1.790000e+02
3.125332e+03 1.770000e+02
3.145893e+03 1.580000e+02
3.166454e+03 1.500000e+02
3.187016e+03 1.330000e+02
3.207577e+03 1.140000e+02
3.228138e+03 1.060000e+02
3.248700e+03 1.010000e+02
3.269261e+03 9.600000e+01
3.289823e+03 8.400000e+01
3.310384e+03 8.300000e+01
3.330945e+03 7.800000e+01
3.351507e+03 7.400000e+01
3.372068e+03 5.500000e+01
3.392630e+03 4.900000e+01
3.413191e+03 5.300000e+01
3.433752e+03 5.900000e+01
3.454314e+03 4.200000e+01
3.474875e+03 4.400000e+01
3.495437e+03 3.800000e+01
3.515998e+03 2.700000e+01
3.536559e+03 3.100000e+01
3.557121e+03 2.900000e+01
3.577682e+03 1.900000e+01
3.598243e+03 3.300000e+01
3.618805e+03 3.300000e+01
3.639366e+03 1.300000e+01
3.659928e+03 2.500000e+01
3.680489e+03 1.200000e+01
3.701051e+03 1.600000e+01
3.721612e+03 2.300000e+01
3.742173e+03 1.500000e+01
3.762735e+03 1.100000e+01
3.783296e+03 1.800000e+01
3.803857e+03 1.400000e+01
3.824419e+03 8.000000e+00
3.844980e+03 8.000000e+00
3.865542e+03 1.100000e+01
3.886103e+03 1.200000e+01
3.906664e+03 8.000000e+00
3.927226e+03 4.000000e+00
3.947787e+03 1.000000e+01
3.968349e+03 4.000000e+00
3.988910e+03 3.000000e+00
4.009471e+03 2.000000e+00
4.030033e+03 7.000000e+00
4.050594e+03 5.000000e+00
4.071156e+03 2.000000e+00
4.091717e+03 3.000000e+00
4.112278e+03 0.000000e+00
4.132840e+03 5.000000e+00
4.153401e+03 1.000000e+00
4.173962e+03 3.000000e+00
4.194524e+03 4.000000e+00
4.215085e+03 1.000000e+00
4.235646e+03 2.000000e+00
4.256208e+03 1.000000e+00
4.276770e+03 0.000000e+00
4.297331e+03 1.000000e+00
4.317892e+03 3.000000e+00
4.338454e+03 1.000000e+00
4.359015e+03 0.000000e+00
4.379576e+03 0.000000e+00
4.400138e+03 1.000000e+00
4.420699e+03 0.000000e+00
4.441261e+03 1.000000e+00
4.461822e+03 0.000000e+00
4.482383e+03 0.000000e+00
4.502945e+03 1.000000e+00
4.523506e+03 0.000000e+00
4.544067e+03 0.000000e+00
4.564629e+03 0.000000e+00
4.585190e+03 0.000000e+00
4.605751e+03 0.000000e+00
4.626313e+03 0.000000e+00
4.646875e+03 0.000000e+00
4.667436e+03 0.000000e+00
4.687997e+03 0.000000e+00
4.708559e+03 0.000000e+00
4.729120e+03 0.000000e+00
4.749681e+03 0.000000e+00
4.770243e+03 0.000000e+00
4.790804e+03 0.000000e+00
4.811366e+03 1.000000e+00
4.831927e+03 0.000000e+00
4.852488e+03 1.000000e+00
4.873050e+03 0.000000e+00
4.893611e+03 0.000000e+00
4.914172e+03 0.000000e+00
4.934734e+03 0.000000e+00
4.955295e+03 0.000000e+00
4.975857e+03 0.000000e+00
4.996418e+03 0.000000e+00
5.016979e+03 0.000000e+00
5.037541e+03 0.000000e+00
5.058102e+03 0.000000e+00
5.078664e+03 0.000000e+00
5.099225e+03 0.000000e+00
5.119787e+03 0.000000e+00
5.140348e+03 0.000000e+00
5.160909e+03 0.000000e+00
5.181471e+03 0.000000e+00
5.202032e+03 0.000000e+00
5.222593e+03 1.000000e+00
5.243155e+03 0.000000e+00
